id_manual,comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,etiqueta_manual,observacion_manual
308,"Buena tardes. Bastante contrariado por la atención de hoy por la tarde. Normalmente no me quejo, pero ya son varias las ocasiones que me sucede lo mismo y la verdad hoy perdí la paciencia y ustedes están a punto de perder un cliente. Habían atendiendo 4 cajas. De ellas una era Preferencial y de las otras 3, dos estaban paralizadas porque querían hacer anulaciones y no podían hacerlo porque la UNICA Supervisora estaba en su oficina atendiendo a varios otros clientes. Más de diez minutos y la ÚNICA Supervisora nunca llegó. No es que el personal haya atendido mal (es más se esforzaban por atendernos correctamente) es que sencillamente no ponen personal suficiente. Y NO ES LA PRIMERA VEZ QUE OCURRE!!! El problema no es el personal, el problema son ustedes como institución al sobreponer funciones. PESIMA ATENCIÓN (Y, repito, no por culpa del personal de atención al público)!!!",Plaza Vea,Universitaria,Retail,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Buena tardes. Bastante contrariado por la atención de hoy por la tarde. Normalmente no me quejo, pero ya son varias las ocasiones que me sucede lo mismo y la verdad hoy perdí la paciencia y ustedes están a punto de perder un cliente. Habían atendiendo 4 cajas. De ellas una era Preferencial y de las otras 3, dos estaban paralizadas porque querían hacer anulaciones y no podían hacerlo porque la UNICA Supervisora estaba en su oficina atendiendo a varios otros clientes. Más de diez minutos y la ÚNICA Supervisora nunca llegó. No es que el personal haya atendido mal (es más se esforzaban por atendernos correctamente) es que sencillamente no ponen personal suficiente. Y NO ES LA PRIMERA VEZ QUE OCURRE!!! El problema no es el personal, el problema son ustedes como institución al sobreponer funciones. PESIMA ATENCIÓN (Y, repito, no por culpa del personal de atención al público)!!!",buena tardes bastante contrariado por la atención de hoy por la tarde normalmente no me quejo pero ya son varias las ocasiones que me sucede lo mismo y la verdad hoy perdí la paciencia y ustedes están a punto de perder un cliente habían atendiendo 4 cajas de ellas una era preferencial y de las otras 3 dos estaban paralizadas porque querían hacer anulaciones y no podían hacerlo porque la unica supervisora estaba en su oficina atendiendo a varios otros clientes más de diez minutos y la única supervisora nunca llegó no es que el personal haya atendido mal es más se esforzaban por atendernos correctamente es que sencillamente no ponen personal suficiente y no es la primera vez que ocurre el problema no es el personal el problema son ustedes como institución al sobreponer funciones pesima atención y repito no por culpa del personal de atención al público,884,149,False,False,False,False,True,muy negativo,True,False,,,
309,Deben mejorar en la atencion al publico mas lo que conversan que atienden,Claro,Plaza Norte,Telecomunicaciones,3,neutral,Hace 6 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Deben mejorar en la atencion al publico mas lo que conversan que atienden,deben mejorar en la atencion al publico mas lo que conversan que atienden,73,13,False,False,False,False,True,neutral,True,False,,,
310,Ta weno ordenao,BBVA,San Isidro,Banca,5,muy positivo,Hace un año,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Ta weno ordenao,ta weno ordenao,15,3,False,False,False,False,True,muy positivo,True,False,,,
311,"Hay una gran variedad de productos, pero es un poco complicado encontrar tallas ya que en las oportunidades que e ido siempre he encontrado desordenado, así que hay que estar buscando. Yo recomiendo comprar por Internet o al menos ver el stock de tallas que se encuentra en ese establecimiento.",Falabella,Miraflores,Retail,4,positivo,Hace 3 años,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Hay una gran variedad de productos, pero es un poco complicado encontrar tallas ya que en las oportunidades que e ido siempre he encontrado desordenado, así que hay que estar buscando. Yo recomiendo comprar por Internet o al menos ver el stock de tallas que se encuentra en ese establecimiento.",hay una gran variedad de productos pero es un poco complicado encontrar tallas ya que en las oportunidades que e ido siempre he encontrado desordenado así que hay que estar buscando yo recomiendo comprar por internet o al menos ver el stock de tallas que se encuentra en ese establecimiento,294,50,False,False,False,False,True,positivo,True,False,,,
312,"Es de los tottus más grandes que hay, encuentras de todo, y a excelente precio. Las carnes, los abarrotes y la licorería es enorme, y hay una sección muy grande ropa. En definitiva encuentras todo aquí.",Tottus,San Miguel,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Tottus/@-12.0796251,-77.0990292,15z/data=!3m1!5s0x9105c97057064a8d:0x41fd3d4df91882d3!4m8!3m7!1s0x9105c97051ad2673:0x267a96504f49c637!8m2!3d-12.0796463!4d-77.0887294!9m1!1b1!16s%2Fg%2F11b6srlhk5?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es de los tottus más grandes que hay, encuentras de todo, y a excelente precio. Las carnes, los abarrotes y la licorería es enorme, y hay una sección muy grande ropa. En definitiva encuentras todo aquí.",es de los tottus más grandes que hay encuentras de todo y a excelente precio las carnes los abarrotes y la licorería es enorme y hay una sección muy grande ropa en definitiva encuentras todo aquí,202,36,False,False,False,False,True,muy positivo,True,False,,,
313,"Tienda muy grande y bien surtida. Muy bien ubicada, tiene playa de estacionamiento.",Plaza Vea,Miraflores,Retail,5,muy positivo,Hace 9 meses,"https://www.google.com/maps/place/plazaVea+Miraflores/@-12.1122237,-77.031688,17z/data=!3m1!5s0x9105c814389568b9:0x57570d65053fb554!4m17!1m8!3m7!1s0x9105c8143897b2c1:0xb77f6c4ff4007d96!2sPlaza+Vea+Miraflores,+Av.+Arequipa+4651,+Miraflores+15046!3b1!8m2!3d-12.112229!4d-77.0291131!16s%2Fg%2F1jkxdgykk!3m7!1s0x9105c81438bc15af:0xde58cec54fd29387!8m2!3d-12.1123414!4d-77.0290861!9m1!1b1!16s%2Fg%2F1tfm2j25?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tienda muy grande y bien surtida. Muy bien ubicada, tiene playa de estacionamiento.",tienda muy grande y bien surtida muy bien ubicada tiene playa de estacionamiento,83,13,False,False,False,False,True,muy positivo,True,False,,,
314,"Tienen muchas opciones en compra de ropa. El tema de las cajas si es un poco demorado ya que no hay suficiente personal. Estan tratandonde incorporar elnpago autoservicio, pero no es muy frecuente",Falabella,Miraflores,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tienen muchas opciones en compra de ropa. El tema de las cajas si es un poco demorado ya que no hay suficiente personal. Estan tratandonde incorporar elnpago autoservicio, pero no es muy frecuente",tienen muchas opciones en compra de ropa el tema de las cajas si es un poco demorado ya que no hay suficiente personal estan tratandonde incorporar elnpago autoservicio pero no es muy frecuente,196,33,False,False,False,False,True,positivo,True,False,,,
315,"Me encanta, muy buena atención y asesoría! El joven de la sección de TV muy atento y con buen conocimiento. La joven de las planchas para el pelo muy profesional y capacitada. Me encanta ir a un lugar donde el buen servicio es primordial",Ripley,Miraflores,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Me encanta, muy buena atención y asesoría! El joven de la sección de TV muy atento y con buen conocimiento. La joven de las planchas para el pelo muy profesional y capacitada. Me encanta ir a un lugar donde el buen servicio es primordial",me encanta muy buena atención y asesoría el joven de la sección de tv muy atento y con buen conocimiento la joven de las planchas para el pelo muy profesional y capacitada me encanta ir a un lugar donde el buen servicio es primordial,237,44,False,False,False,False,True,muy positivo,True,False,,,
316,A mis niñas les encantó,Falabella,Jockey Plaza,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",A mis niñas les encantó,a mis niñas les encantó,23,5,False,False,False,False,True,muy positivo,True,False,,,
317,"Todo estaba súper bien hasta pandemia. En vez de mejorar, ser más serviciales y dar rapidez en atención para que no haya aglomeraciones es totalmente lo contrario. El servicio cada día peor que el anterior, la cordialidad la borraron de sus valores, cuando se necesita q algún personal no encuentras a ninguno pero pasillos más adelante se ve todo un grupo del personal charlando y haciendo aglomeración. Al principio pensé que era cosa de un día, un turno, pero días consecutivos lo mismo atención al cliente fatal ni los supervisores dan el ejemplo. Tanto así que preferí el Vivanda, que es más chico si, pero la atención es muy buena. Ojalá en Wong se den cuenta que deben hacer algo para recuperar esa buena atención al cliente que tuvieron algún día.",Wong,San Isidro,Retail,3,neutral,Hace 5 años,"https://www.google.com/maps/place/Wong+Dos+de+Mayo/@-12.0919728,-77.0521564,15z/data=!4m8!3m7!1s0x9105c85a2cafbeed:0xff7fa211810ed3fb!8m2!3d-12.091994!4d-77.0418566!9m1!1b1!16s%2Fg%2F1td3skj_?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Todo estaba súper bien hasta pandemia. En vez de mejorar, ser más serviciales y dar rapidez en atención para que no haya aglomeraciones es totalmente lo contrario. El servicio cada día peor que el anterior, la cordialidad la borraron de sus valores, cuando se necesita q algún personal no encuentras a ninguno pero pasillos más adelante se ve todo un grupo del personal charlando y haciendo aglomeración. Al principio pensé que era cosa de un día, un turno, pero días consecutivos lo mismo atención al cliente fatal ni los supervisores dan el ejemplo. Tanto así que preferí el Vivanda, que es más chico si, pero la atención es muy buena. Ojalá en Wong se den cuenta que deben hacer algo para recuperar esa buena atención al cliente que tuvieron algún día.",todo estaba súper bien hasta pandemia en vez de mejorar ser más serviciales y dar rapidez en atención para que no haya aglomeraciones es totalmente lo contrario el servicio cada día peor que el anterior la cordialidad la borraron de sus valores cuando se necesita q algún personal no encuentras a ninguno pero pasillos más adelante se ve todo un grupo del personal charlando y haciendo aglomeración al principio pensé que era cosa de un día un turno pero días consecutivos lo mismo atención al cliente fatal ni los supervisores dan el ejemplo tanto así que preferí el vivanda que es más chico si pero la atención es muy buena ojalá en wong se den cuenta que deben hacer algo para recuperar esa buena atención al cliente que tuvieron algún día,755,131,False,False,False,False,True,neutral,True,False,,,
318,"Tiene lo que buscas, compras, cine, comida y mucho mas",Metro,San Miguel,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tiene lo que buscas, compras, cine, comida y mucho mas",tiene lo que buscas compras cine comida y mucho mas,54,10,False,False,False,False,True,muy positivo,True,False,,,
319,"Pase un mal rato, habían ofertas de 2x1 cuando voy aa caja me cobran el precio real, voy a reclamar y verificar ala oferta el cartel de la promoción lo sacaron! -.-",Oechsle,Plaza Norte,Retail,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Oechsle+-+Plaza+Norte/@-12.0057768,-77.128451,12z/data=!3m1!5s0x11d62a0a81fe2803:0x123dd954ecd1a108!4m12!1m2!2m1!1sOechsle+san+miguel!3m8!1s0x9105cefd6554a025:0x40a7fed0ea54e457!8m2!3d-12.0057768!4d-77.0584132!9m1!1b1!15sChJPZWNoc2xlIHNhbiBtaWd1ZWwiA4gBAVoUIhJvZWNoc2xlIHNhbiBtaWd1ZWySARBkZXBhcnRtZW50X3N0b3Jl4AEA!16s%2Fg%2F11b6v29479?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pase un mal rato, habían ofertas de 2x1 cuando voy aa caja me cobran el precio real, voy a reclamar y verificar ala oferta el cartel de la promoción lo sacaron! -.-",pase un mal rato habían ofertas de 2x1 cuando voy aa caja me cobran el precio real voy a reclamar y verificar ala oferta el cartel de la promoción lo sacaron,164,31,False,False,False,False,True,muy negativo,True,False,,,
320,"Muy lento más de 1 hora esperando en la cola afuera del establecimiento... luego esperar cuando ya uno ingresa. Muy lento, pésima atención al cliente.",Claro,Plaza Norte,Telecomunicaciones,1,muy negativo,Hace 6 meses,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Muy lento más de 1 hora esperando en la cola afuera del establecimiento... luego esperar cuando ya uno ingresa. Muy lento, pésima atención al cliente.",muy lento más de 1 hora esperando en la cola afuera del establecimiento luego esperar cuando ya uno ingresa muy lento pésima atención al cliente,150,25,False,False,False,False,True,muy negativo,True,False,,,
321,Genial,BCP,La Molina,Banca,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/BCP+Sede+Central/@-12.1165405,-77.3505486,10z/data=!4m12!1m2!2m1!1sbcp+la+molina!3m8!1s0x9105c6c34f1fe2c7:0xa091f19f413baad7!8m2!3d-12.0695085!4d-76.9370266!9m1!1b1!15sCg1iY3AgbGEgbW9saW5hIgOIAQFaDyINYmNwIGxhIG1vbGluYZIBBGJhbmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRiazFNVVhKblJSQULgAQD6AQQIABBB!16s%2Fg%2F1tvw5_7n?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Genial,genial,6,1,True,False,False,False,True,muy positivo,True,True,comentario_corto,,
322,Pésima atención y no pueden hacer un servicio completo al tener un equipo nuevo ya que no cuentan con Wifi Indiferencia pésima atención,Entel,Miraflores,Telecomunicaciones,2,negativo,Hace 3 años,"https://www.google.com/maps/place/Entel+Miraflores/@-12.0981593,-77.067645,13z/data=!4m12!1m2!2m1!1sentel+miraflores!3m8!1s0x9105c83a9a4e26b1:0xf7e0e0e0c1a0eeb1!8m2!3d-12.1178405!4d-77.0443373!9m1!1b1!15sChBlbnRlbCBtaXJhZmxvcmVzIgOIAQGSARF0ZWxlcGhvbmVfY29tcGFueeABAA!16s%2Fg%2F11bx1cbmzz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésima atención y no pueden hacer un servicio completo al tener un equipo nuevo ya que no cuentan con Wifi Indiferencia pésima atención,pésima atención y no pueden hacer un servicio completo al tener un equipo nuevo ya que no cuentan con wifi indiferencia pésima atención,135,23,False,False,False,False,True,negativo,True,False,,,
323,muy bueno rapido No se espera mucho a mejora de la última vez estuve realizando un tramite ojalá que siga asi,Movistar,Los Olivos,Telecomunicaciones,5,muy positivo,Editado Hace 10 meses,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",muy bueno rapido No se espera mucho a mejora de la última vez estuve realizando un tramite ojalá que siga asi,muy bueno rapido no se espera mucho a mejora de la última vez estuve realizando un tramite ojalá que siga asi,109,21,False,False,False,False,True,muy positivo,True,False,,,
324,"Está mejor, por lo menos mejor que teléfonica del Perú",Claro,Jockey Plaza,Telecomunicaciones,4,positivo,Fecha de edición: Hace 3 años,"https://www.google.com/maps/place/Centro+de+Atenci%C3%B3n+Claro/@-12.0853526,-76.9814167,17z/data=!4m8!3m7!1s0x9105c7b2f5f34fa3:0x30c8a5f0bc0128cd!8m2!3d-12.0853579!4d-76.9788418!9m1!1b1!16s%2Fg%2F11b6s_4fll?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Está mejor, por lo menos mejor que teléfonica del Perú",está mejor por lo menos mejor que teléfonica del perú,54,10,False,False,False,False,True,positivo,True,False,,,
325,"Había unas buenas ofertas tanto para hombres y damas. Su personal de la sección de hombres poco colaborativo y fue una señorita que me respondió mal, que se dió cuenta y atinó a resolver mi consulta.",Falabella,San Isidro,Retail,4,positivo,Hace 8 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Había unas buenas ofertas tanto para hombres y damas. Su personal de la sección de hombres poco colaborativo y fue una señorita que me respondió mal, que se dió cuenta y atinó a resolver mi consulta.",había unas buenas ofertas tanto para hombres y damas su personal de la sección de hombres poco colaborativo y fue una señorita que me respondió mal que se dió cuenta y atinó a resolver mi consulta,199,36,False,False,False,False,True,positivo,True,False,,,
326,"Muy mala atención. Siempre crítico a todo aquel que sale gritando ""xenofobia"" por cualquier cosa, sin embargo, en éste lugar realmente me pregunto si es lo que ocurre. Simplemente me trataron malísimo, ni les dio la gana de escucharme, ni darme la orientación que requería. Me enviaron a llamar a un número el cuál nunca dan respuesta, se supone que para eso está la central en San Isidro, pero para nada es el caso. Te tratan con las patas, pésimo. Ah pero para cobrar si te llaman o para ofrecerte más formas de endeudarte",Movistar,San Isidro,Telecomunicaciones,1,muy negativo,Hace 4 años,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Muy mala atención. Siempre crítico a todo aquel que sale gritando ""xenofobia"" por cualquier cosa, sin embargo, en éste lugar realmente me pregunto si es lo que ocurre. Simplemente me trataron malísimo, ni les dio la gana de escucharme, ni darme la orientación que requería. Me enviaron a llamar a un número el cuál nunca dan respuesta, se supone que para eso está la central en San Isidro, pero para nada es el caso. Te tratan con las patas, pésimo. Ah pero para cobrar si te llaman o para ofrecerte más formas de endeudarte",muy mala atención siempre crítico a todo aquel que sale gritando xenofobia por cualquier cosa sin embargo en éste lugar realmente me pregunto si es lo que ocurre simplemente me trataron malísimo ni les dio la gana de escucharme ni darme la orientación que requería me enviaron a llamar a un número el cuál nunca dan respuesta se supone que para eso está la central en san isidro pero para nada es el caso te tratan con las patas pésimo ah pero para cobrar si te llaman o para ofrecerte más formas de endeudarte,524,94,False,False,False,False,True,muy negativo,True,False,,,
327,"Tienda del ritail ofreciendo variedad, precios competitivos y múltiples canales de venta (físicos y online), al igual que Falabella de Chile.",Falabella,Miraflores,Retail,5,muy positivo,Hace 5 meses,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tienda del ritail ofreciendo variedad, precios competitivos y múltiples canales de venta (físicos y online), al igual que Falabella de Chile.",tienda del ritail ofreciendo variedad precios competitivos y múltiples canales de venta físicos y online al igual que falabella de chile,141,21,False,False,False,False,True,muy positivo,True,False,,,
328,"Variedad de tiendas, supermercado, tiendas por departamento, restaurantes, heladerías y negocios variados. Todo con orden y seguridad. Recomiendo al 100% la zona de comidas llamada El Refugio dónde hay un lindo ambiente al aire libre, con decoración muy linda, súper relax!",Ripley,Jockey Plaza,Retail,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Variedad de tiendas, supermercado, tiendas por departamento, restaurantes, heladerías y negocios variados. Todo con orden y seguridad. Recomiendo al 100% la zona de comidas llamada El Refugio dónde hay un lindo ambiente al aire libre, con decoración muy linda, súper relax!",variedad de tiendas supermercado tiendas por departamento restaurantes heladerías y negocios variados todo con orden y seguridad recomiendo al 100 la zona de comidas llamada el refugio dónde hay un lindo ambiente al aire libre con decoración muy linda súper relax,273,41,False,False,False,False,True,muy positivo,True,False,,,
329,Las cajeras son tremendamente lentas en el cobro. A mejorar.,Oechsle,Jockey Plaza,Retail,2,negativo,Hace 8 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Las cajeras son tremendamente lentas en el cobro. A mejorar.,las cajeras son tremendamente lentas en el cobro a mejorar,60,10,False,False,False,False,True,negativo,True,False,,,
330,"no compren celulares aquí, pésima atención, si van a trabajar atendiendo por lo menos finjan interés en su trabajo. 😡 mejor por su web.…",Falabella,San Isidro,Retail,1,muy negativo,Hace 7 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","no compren celulares aquí, pésima atención, si van a trabajar atendiendo por lo menos finjan interés en su trabajo. 😡 mejor por su web.…",no compren celulares aquí pésima atención si van a trabajar atendiendo por lo menos finjan interés en su trabajo mejor por su web,136,23,False,False,False,False,True,muy negativo,True,False,,,
331,"Señores buenas noches hace un mes que anule la tarjeta de. Crédito Ripley y hasta el momento no me hacen llegar la carta de no adeudo, por favor cuanto mas tengo que esperar",Ripley,Miraflores,Retail,3,neutral,Hace un año,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Señores buenas noches hace un mes que anule la tarjeta de. Crédito Ripley y hasta el momento no me hacen llegar la carta de no adeudo, por favor cuanto mas tengo que esperar",señores buenas noches hace un mes que anule la tarjeta de crédito ripley y hasta el momento no me hacen llegar la carta de no adeudo por favor cuanto mas tengo que esperar,173,33,False,False,False,False,True,neutral,True,False,,,
332,"Excelente infraestructura, cálida atención personal, muchas felicidades BBVA de Perú",BBVA,San Isidro,Banca,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Excelente infraestructura, cálida atención personal, muchas felicidades BBVA de Perú",excelente infraestructura cálida atención personal muchas felicidades bbva de perú,84,10,False,False,False,False,True,muy positivo,True,False,,,
333,Grande ofrece de todo buena atención,Tottus,Jockey Plaza,Retail,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Grande ofrece de todo buena atención,grande ofrece de todo buena atención,36,6,False,False,False,False,True,muy positivo,True,False,,,
