comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,sentimiento_modelo,polaridad_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,requiere_revision_etiqueta,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_final_original,sentimiento_final_origen,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia,sentimiento_ia_neutral,confianza_ia_neutral,justificacion_ia_neutral,usar_etiqueta_ia_neutral,regla_aplicada
De las pocas veces en Telefonica hoy si me sentí bien atendido y aclarado varias dudas.,Movistar,Los Olivos,Telecomunicaciones,4,positivo,Hace 6 años,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",De las pocas veces en Telefonica hoy si me sentí bien atendido y aclarado varias dudas.,de las pocas veces en telefonica hoy si me sentí bien atendido y aclarado varias dudas,87,16,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9305261969566344,0.0057773222215473,0.0636964440345764,0.9305261969566344,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
Super mercado en buena ubicación. Es más pequeño que los demás ubicados en otras zonas... 2do piso del Jockey Plaza,Plaza Vea,Jockey Plaza,Retail,4,positivo,Hace 2 años,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Super mercado en buena ubicación. Es más pequeño que los demás ubicados en otras zonas... 2do piso del Jockey Plaza,super mercado en buena ubicación es más pequeño que los demás ubicados en otras zonas 2do piso del jockey plaza,115,20,False,False,False,False,True,positivo,True,False,,POS,positivo,0.5669304728507996,0.0107569275423884,0.4223125874996185,0.5669304728507996,positivo,positivo,True,baja,baja_confianza_modelo,positivo,consistencia_estrella_modelo,,,,,,,,,
Mucha cola para cualquier servicio y encima no te an solucion a cualquier problema,Movistar,Los Olivos,Telecomunicaciones,2,negativo,Hace 8 años,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Mucha cola para cualquier servicio y encima no te an solucion a cualquier problema,mucha cola para cualquier servicio y encima no te an solucion a cualquier problema,82,14,False,False,False,False,True,negativo,True,False,,NEG,negativo,0.9611197710037231,0.9611197710037231,0.0338682457804679,0.0050120279192924,negativo,negativo,False,alta,,negativo,consistencia_estrella_modelo,,,,,,,,,
"No me gustó el trato que recibí en su tienda les cuento lo que me pasó y podría de mandar a su empresa, yo fui a un supermercado (actualmente tengo 15 años y manejo mi propio dinero) fui a comprar algunas cosas de mi uso diario y pague en la caja rápida (la que tu pasas los productos tu mismo y pagas con tarjeta) la cosa es que luego de eso hay una señora que revisa tu compra, a todos les revisaba al toque y les sellaba en menos de 1 minuto, pero cuando pase yo, me miro raro y empezo a revisar cada bolsa, una por una, se demoro como 5 minutos conmigo y luego me pregunto si tenía algo más yo le dije que no y me miro más raro, luego recien me dejo retirarme y pues yo me senti incomoda y hasta un poco humillada por que en esos 5 minutos varias personas pasaron y la chica que me estaba revisando les sello normal y los dejaba irse. Los puedo demandar por 3 principales derechos del consumidor y no quisiera hacerlo pero quisiera que me den una solución o algo 😓",Tottus,Atocongo,Retail,1,muy negativo,Hace un año,"https://www.google.com/maps/place/Tottus/@-12.1472344,-76.9920292,15z/data=!4m8!3m7!1s0x9105b869706d27f1:0x989b4442c72af420!8m2!3d-12.1472556!4d-76.9817294!9m1!1b1!16s%2Fg%2F119vsqj6c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","No me gustó el trato que recibí en su tienda les cuento lo que me pasó y podría de mandar a su empresa, yo fui a un supermercado (actualmente tengo 15 años y manejo mi propio dinero) fui a comprar algunas cosas de mi uso diario y pague en la caja rápida (la que tu pasas los productos tu mismo y pagas con tarjeta) la cosa es que luego de eso hay una señora que revisa tu compra, a todos les revisaba al toque y les sellaba en menos de 1 minuto, pero cuando pase yo, me miro raro y empezo a revisar cada bolsa, una por una, se demoro como 5 minutos conmigo y luego me pregunto si tenía algo más yo le dije que no y me miro más raro, luego recien me dejo retirarme y pues yo me senti incomoda y hasta un poco humillada por que en esos 5 minutos varias personas pasaron y la chica que me estaba revisando les sello normal y los dejaba irse. Los puedo demandar por 3 principales derechos del consumidor y no quisiera hacerlo pero quisiera que me den una solución o algo 😓",no me gustó el trato que recibí en su tienda les cuento lo que me pasó y podría de mandar a su empresa yo fui a un supermercado actualmente tengo 15 años y manejo mi propio dinero fui a comprar algunas cosas de mi uso diario y pague en la caja rápida la que tu pasas los productos tu mismo y pagas con tarjeta la cosa es que luego de eso hay una señora que revisa tu compra a todos les revisaba al toque y les sellaba en menos de 1 minuto pero cuando pase yo me miro raro y empezo a revisar cada bolsa una por una se demoro como 5 minutos conmigo y luego me pregunto si tenía algo más yo le dije que no y me miro más raro luego recien me dejo retirarme y pues yo me senti incomoda y hasta un poco humillada por que en esos 5 minutos varias personas pasaron y la chica que me estaba revisando les sello normal y los dejaba irse los puedo demandar por 3 principales derechos del consumidor y no quisiera hacerlo pero quisiera que me den una solución o algo,968,193,False,False,False,False,True,muy negativo,True,False,,NEU,neutral,0.7361182570457458,0.2329107969999313,0.7361182570457458,0.0309709347784519,muy negativo,muy negativo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R2_estrella_1_neu
"En esta oportunidad e imagino q por el horario, me atendieron rápido, fui a confultar por un reclamo puesto en diciembre y me doy con la sorpresa q fue anulado el mismo así que generaron una solicitud por el sistema para dar solución (espero), resaltar al sr Marcelo Benítez P., acesor de servicio q fue cordial, atento y dentro de lo posible rápido con la atencion",Claro,Miraflores,Telecomunicaciones,3,neutral,Hace 5 años,"https://www.google.com/maps/place/Claro+%7C+Centro+de+Atenci%C3%B3n+%7C+Miraflores/@-12.0671125,-77.1219397,12z/data=!4m12!1m2!2m1!1sclaro+miraflores!3m8!1s0x9105c81937703e63:0xc13d8f83068682dc!8m2!3d-12.1238173!4d-77.0294468!9m1!1b1!15sChBjbGFybyBtaXJhZmxvcmVzIgOIAQFaEiIQY2xhcm8gbWlyYWZsb3Jlc5IBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11xbgjr16?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","En esta oportunidad e imagino q por el horario, me atendieron rápido, fui a confultar por un reclamo puesto en diciembre y me doy con la sorpresa q fue anulado el mismo así que generaron una solicitud por el sistema para dar solución (espero), resaltar al sr Marcelo Benítez P., acesor de servicio q fue cordial, atento y dentro de lo posible rápido con la atencion",en esta oportunidad e imagino q por el horario me atendieron rápido fui a confultar por un reclamo puesto en diciembre y me doy con la sorpresa q fue anulado el mismo así que generaron una solicitud por el sistema para dar solución espero resaltar al sr marcelo benítez p acesor de servicio q fue cordial atento y dentro de lo posible rápido con la atencion,365,66,False,False,False,False,True,neutral,True,False,,NEU,neutral,0.492995023727417,0.0198229383677244,0.492995023727417,0.4871819913387298,neutral,neutral,True,baja,baja_confianza_modelo,neutral,consistencia_estrella_modelo,muy negativo,alta,Queja fuerte y experiencia muy negativa,si,,,,,
"Protocolo de seguridad correcto. Pero deberían advertir a los que ingresan con sus niños, que corren, tocan y juegan con la ropa y todo lo que esté a su alcance. Es incómodo porque siempre hay niños corriendo y nadie les dice nada a los padres. En todas las tiendas de Lima norte he experimentado eso.",Oechsle,Plaza Norte,Retail,3,neutral,Hace 4 años,"https://www.google.com/maps/place/Oechsle+-+Plaza+Norte/@-12.0057768,-77.128451,12z/data=!3m1!5s0x11d62a0a81fe2803:0x123dd954ecd1a108!4m12!1m2!2m1!1sOechsle+san+miguel!3m8!1s0x9105cefd6554a025:0x40a7fed0ea54e457!8m2!3d-12.0057768!4d-77.0584132!9m1!1b1!15sChJPZWNoc2xlIHNhbiBtaWd1ZWwiA4gBAVoUIhJvZWNoc2xlIHNhbiBtaWd1ZWySARBkZXBhcnRtZW50X3N0b3Jl4AEA!16s%2Fg%2F11b6v29479?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Protocolo de seguridad correcto. Pero deberían advertir a los que ingresan con sus niños, que corren, tocan y juegan con la ropa y todo lo que esté a su alcance. Es incómodo porque siempre hay niños corriendo y nadie les dice nada a los padres. En todas las tiendas de Lima norte he experimentado eso.",protocolo de seguridad correcto pero deberían advertir a los que ingresan con sus niños que corren tocan y juegan con la ropa y todo lo que esté a su alcance es incómodo porque siempre hay niños corriendo y nadie les dice nada a los padres en todas las tiendas de lima norte he experimentado eso,301,55,False,False,False,False,True,neutral,True,False,,NEG,negativo,0.9204434752464294,0.9204434752464294,0.0746093019843101,0.0049472032114863,neutral,neutral,True,baja,sin_etiqueta_final_confiable,,ia_lote_neutral,positivo,media,Comentario favorable sin queja relevante,si,neutral,media,Combina aspectos positivos y negativos,si,
"Gran variedad, no hay muchas ofertas!",Ripley,Miraflores,Retail,5,muy positivo,Hace 6 meses,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Gran variedad, no hay muchas ofertas!",gran variedad no hay muchas ofertas,37,6,False,False,False,False,True,muy positivo,True,False,,NEU,neutral,0.6539379358291626,0.0217387545853853,0.6539379358291626,0.3243233263492584,neutral,muy positivo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R1_estrellas_altas_neu_neutral
"Me encanta porque está cerca a mi casa encuentro. De todo un poco lo que deseo hay juegos para los engreidos,es un lugar muy acogedor porque tienes donde tomar un café con tus amigos y hablar muchas horas se los recomiendo que lo visiten",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Me encanta porque está cerca a mi casa encuentro. De todo un poco lo que deseo hay juegos para los engreidos,es un lugar muy acogedor porque tienes donde tomar un café con tus amigos y hablar muchas horas se los recomiendo que lo visiten",me encanta porque está cerca a mi casa encuentro de todo un poco lo que deseo hay juegos para los engreidos es un lugar muy acogedor porque tienes donde tomar un café con tus amigos y hablar muchas horas se los recomiendo que lo visiten,237,45,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9754300713539124,0.0022056128364056,0.0223643109202384,0.9754300713539124,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Siempre limpio, productos de calidad y excelente atención que se ven reflejados en sus precios (siempre es más caro que los otros super). Mucha variedad de productos. Tiene estacionamiento.",Wong,La Molina,Retail,4,positivo,Hace 4 años,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Siempre limpio, productos de calidad y excelente atención que se ven reflejados en sus precios (siempre es más caro que los otros super). Mucha variedad de productos. Tiene estacionamiento.",siempre limpio productos de calidad y excelente atención que se ven reflejados en sus precios siempre es más caro que los otros super mucha variedad de productos tiene estacionamiento,189,29,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9041815996170044,0.0062205921858549,0.0895978063344955,0.9041815996170044,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
"Mi esposa me compró en esta tienda unos audífonos de la marca Xiaomi y cuando lo fui a probar el volumen era extremadamente bajo y me dirijo a la tienda con la factura para hacer el cambio y quién me atiende en esa área me dice de manera muy grosera sin siquiera mirarme a la cara y dar la atención que un cliente requiere y ma cuando es un reclamo qué el volumen era el correcto y que yo tenía problemas auditivos y por eso noos cambian, es más me hicieron probar unos que tienen ellos el cual si tenían un sonido acorde y aún así no me hizo el cambio... Mi reclamó no es por el valor de los audífonos si no por la mala atención presentada por este individuo.",Ripley,Miraflores,Retail,1,muy negativo,Fecha de edición: Hace 3 años,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Mi esposa me compró en esta tienda unos audífonos de la marca Xiaomi y cuando lo fui a probar el volumen era extremadamente bajo y me dirijo a la tienda con la factura para hacer el cambio y quién me atiende en esa área me dice de manera muy grosera sin siquiera mirarme a la cara y dar la atención que un cliente requiere y ma cuando es un reclamo qué el volumen era el correcto y que yo tenía problemas auditivos y por eso noos cambian, es más me hicieron probar unos que tienen ellos el cual si tenían un sonido acorde y aún así no me hizo el cambio... Mi reclamó no es por el valor de los audífonos si no por la mala atención presentada por este individuo.",mi esposa me compró en esta tienda unos audífonos de la marca xiaomi y cuando lo fui a probar el volumen era extremadamente bajo y me dirijo a la tienda con la factura para hacer el cambio y quién me atiende en esa área me dice de manera muy grosera sin siquiera mirarme a la cara y dar la atención que un cliente requiere y ma cuando es un reclamo qué el volumen era el correcto y que yo tenía problemas auditivos y por eso noos cambian es más me hicieron probar unos que tienen ellos el cual si tenían un sonido acorde y aún así no me hizo el cambio mi reclamó no es por el valor de los audífonos si no por la mala atención presentada por este individuo,660,131,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.935649037361145,0.935649037361145,0.0606826953589916,0.0036682251375168,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Las frutas, la comida, y la panadería son de buena calidad ❤️ Y tiene un buen trato al cliente.",Plaza Vea,San Borja,Retail,5,muy positivo,Hace 7 meses,"https://www.google.com/maps/place/plazaVea+San+Borja/@-12.089825,-77.0068138,17z/data=!4m8!3m7!1s0x9105c7d406b76bc3:0x8a10b6f285a697a1!8m2!3d-12.0898303!4d-77.0042389!9m1!1b1!16s%2Fg%2F1tffqdk9?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Las frutas, la comida, y la panadería son de buena calidad ❤️ Y tiene un buen trato al cliente.",las frutas la comida y la panadería son de buena calidad y tiene un buen trato al cliente,95,18,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9736998081207277,0.0025906001683324,0.0237095542252063,0.9736998081207277,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Como buen supermercado que es, un lugar bien ubicado para cualquier compra de último momento. Surtido variado y productos con precios bajos para toda ocasión y necesidad. El estar en un Centro Comercial le da la ventaja de poder realizar compras al paso.",Plaza Vea,San Borja,Retail,4,positivo,Hace 8 años,"https://www.google.com/maps/place/plazaVea+San+Borja/@-12.089825,-77.0068138,17z/data=!4m8!3m7!1s0x9105c7d406b76bc3:0x8a10b6f285a697a1!8m2!3d-12.0898303!4d-77.0042389!9m1!1b1!16s%2Fg%2F1tffqdk9?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Como buen supermercado que es, un lugar bien ubicado para cualquier compra de último momento. Surtido variado y productos con precios bajos para toda ocasión y necesidad. El estar en un Centro Comercial le da la ventaja de poder realizar compras al paso.",como buen supermercado que es un lugar bien ubicado para cualquier compra de último momento surtido variado y productos con precios bajos para toda ocasión y necesidad el estar en un centro comercial le da la ventaja de poder realizar compras al paso,254,43,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9305036067962646,0.0033745258115231,0.0661218836903572,0.9305036067962646,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
"Demoran un montón,para renovar los datos hay que esperar mínimo 1 hora.",Claro,Miraflores,Telecomunicaciones,1,muy negativo,Hace un año,"https://www.google.com/maps/place/Claro+%7C+Centro+de+Atenci%C3%B3n+%7C+Miraflores/@-12.0671125,-77.1219397,12z/data=!4m12!1m2!2m1!1sclaro+miraflores!3m8!1s0x9105c81937703e63:0xc13d8f83068682dc!8m2!3d-12.1238173!4d-77.0294468!9m1!1b1!15sChBjbGFybyBtaXJhZmxvcmVzIgOIAQFaEiIQY2xhcm8gbWlyYWZsb3Jlc5IBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11xbgjr16?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Demoran un montón,para renovar los datos hay que esperar mínimo 1 hora.",demoran un montón para renovar los datos hay que esperar mínimo 1 hora,71,13,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.8461589217185974,0.8461589217185974,0.1429930478334427,0.0108480965718626,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"la empresa WIN parece prometer una competencia interesante. Una de las peores corporaciones que existe en el Perú. Abuso, negligencia, arrogancia, mezquindad, ineficiencia, ignorancia, desdén, obstinación, dejadez. La mezcla perfecta para quebrar a cualquier organización el día que deje de ser un monopolio artificial. El estado debería clausurar esta entidad por el nivel de maltrato y negligencia. Inevitablemente desaparecerá cuando ingresen nuevos competidores y las líneas fijas y el monopolio se derrumben. Espero que pronto.",Movistar,San Isidro,Telecomunicaciones,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","la empresa WIN parece prometer una competencia interesante. Una de las peores corporaciones que existe en el Perú. Abuso, negligencia, arrogancia, mezquindad, ineficiencia, ignorancia, desdén, obstinación, dejadez. La mezcla perfecta para quebrar a cualquier organización el día que deje de ser un monopolio artificial. El estado debería clausurar esta entidad por el nivel de maltrato y negligencia. Inevitablemente desaparecerá cuando ingresen nuevos competidores y las líneas fijas y el monopolio se derrumben. Espero que pronto.",la empresa win parece prometer una competencia interesante una de las peores corporaciones que existe en el perú abuso negligencia arrogancia mezquindad ineficiencia ignorancia desdén obstinación dejadez la mezcla perfecta para quebrar a cualquier organización el día que deje de ser un monopolio artificial el estado debería clausurar esta entidad por el nivel de maltrato y negligencia inevitablemente desaparecerá cuando ingresen nuevos competidores y las líneas fijas y el monopolio se derrumben espero que pronto,532,75,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.975802719593048,0.975802719593048,0.0205538868904113,0.0036434142384678,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Atención relativamente rápida pero los asesores les falta saber más de tecnología, local ventilado.",Entel,San Miguel,Telecomunicaciones,4,positivo,Hace 2 años,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Atención relativamente rápida pero los asesores les falta saber más de tecnología, local ventilado.",atención relativamente rápida pero los asesores les falta saber más de tecnología local ventilado,99,14,False,False,False,False,True,positivo,True,False,,NEU,neutral,0.748153030872345,0.2000614255666732,0.748153030872345,0.0517855882644653,neutral,positivo,True,baja,sin_etiqueta_final_confiable,,ia_lote_neutral,,,,,neutral,media,Combina aspectos positivos y negativos,si,
"Precios altos, y ropa aún más alta (soy chato)",Ripley,San Miguel,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Precios altos, y ropa aún más alta (soy chato)",precios altos y ropa aún más alta soy chato,46,9,False,False,False,False,True,positivo,True,False,,NEU,neutral,0.6933303475379944,0.2821149826049804,0.6933303475379944,0.0245546754449605,neutral,positivo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R1_estrellas_altas_neu_neutral
Pésima información en atención al cliente. NO brinda una información veraz al cliente. Y su financiera es otro centro de engaños. Compre artefacto nuevo no funciona bien y los tecnicos ni se presentan .pido anular la venta y la financiera dice cancelar y después de un mes ne devolverán el efectivo . ENGAÑO TOTAL.....Y es hora de acudir a las entidades pertinentes quien nos proteje como clientes.,Oechsle,Plaza Norte,Retail,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/Oechsle+-+Plaza+Norte/@-12.0057768,-77.128451,12z/data=!3m1!5s0x11d62a0a81fe2803:0x123dd954ecd1a108!4m12!1m2!2m1!1sOechsle+san+miguel!3m8!1s0x9105cefd6554a025:0x40a7fed0ea54e457!8m2!3d-12.0057768!4d-77.0584132!9m1!1b1!15sChJPZWNoc2xlIHNhbiBtaWd1ZWwiA4gBAVoUIhJvZWNoc2xlIHNhbiBtaWd1ZWySARBkZXBhcnRtZW50X3N0b3Jl4AEA!16s%2Fg%2F11b6v29479?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésima información en atención al cliente. NO brinda una información veraz al cliente. Y su financiera es otro centro de engaños. Compre artefacto nuevo no funciona bien y los tecnicos ni se presentan .pido anular la venta y la financiera dice cancelar y después de un mes ne devolverán el efectivo . ENGAÑO TOTAL.....Y es hora de acudir a las entidades pertinentes quien nos proteje como clientes.,pésima información en atención al cliente no brinda una información veraz al cliente y su financiera es otro centro de engaños compre artefacto nuevo no funciona bien y los tecnicos ni se presentan pido anular la venta y la financiera dice cancelar y después de un mes ne devolverán el efectivo engaño total y es hora de acudir a las entidades pertinentes quien nos proteje como clientes,398,67,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9734200835227966,0.9734200835227966,0.0235484726727008,0.0030314368195831,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
Muy bien; sobre todo el aforo Ambiente en Jockey muy acogedor Ropa de niños niñas damas muy bonita.,Oechsle,Jockey Plaza,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy bien; sobre todo el aforo Ambiente en Jockey muy acogedor Ropa de niños niñas damas muy bonita.,muy bien sobre todo el aforo ambiente en jockey muy acogedor ropa de niños niñas damas muy bonita,99,18,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9781937599182128,0.0029910777229815,0.0188151691108942,0.9781937599182128,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Los asesores te atienden demasiado lento, están sin hacer nada",Interbank,San Miguel,Banca,1,muy negativo,Fecha de edición: Hace un mes,"https://www.google.com/maps/place/Tienda+Interbank/@-12.0344632,-77.1653504,12z/data=!4m12!1m2!2m1!1sinterbank+san+miguel!3m8!1s0x9105c960e9e951c1:0xfbcdb751e56d4fe2!8m2!3d-12.0768784!4d-77.0811359!9m1!1b1!15sChRpbnRlcmJhbmsgc2FuIG1pZ3VlbCIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F11h3ftdq6m?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Los asesores te atienden demasiado lento, están sin hacer nada",los asesores te atienden demasiado lento están sin hacer nada,62,10,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9715055823326112,0.9715055823326112,0.0243154056370258,0.0041789910756051,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Buenas ofertas en los pollos a la brasa, polos en oferta, pasteles muy ricos!.",Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Buenas ofertas en los pollos a la brasa, polos en oferta, pasteles muy ricos!.",buenas ofertas en los pollos a la brasa polos en oferta pasteles muy ricos,78,14,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9252885580062866,0.0033562583848834,0.0713551044464111,0.9252885580062866,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
